dataset,pair_name,adj1,adj2,direction,scale_terms,gold_ranking,num_terms,num_ranked
demelo,alarming-unalarming,alarming,unalarming,lower_to_upper,creepy | scary | frightening | terrifying | sinister,creepy | scary || frightening | terrifying | sinister,5,4
demelo,ample-meager,ample,meager,lower_to_upper,sufficient | good | wide | full,sufficient | good || wide | full,4,3
demelo,attractive-unattractive,attractive,unattractive,lower_to_upper,attractive | beautiful | mesmerizing | seductive,attractive | beautiful | mesmerizing || seductive,4,3
demelo,available-unavailable,available,unavailable,lower_to_upper,available | accessible | visible,available | accessible | visible,3,3
demelo,aware-incognizant,aware,incognizant,lower_to_upper,alive | awake | aware | conscious,alive | awake | aware || conscious,4,3
demelo,beautiful-ugly,beautiful,ugly,lower_to_upper,handsome | lovely | gorgeous | beautiful | pretty | attractive,handsome || lovely || gorgeous | beautiful || pretty || attractive,6,2
demelo,big-little,big,little,lower_to_upper,sizeable | big | large | huge | colossal,sizeable | big || large | huge | colossal,5,4
demelo,bloody-bloodless,bloody,bloodless,lower_to_upper,violent | homicidal | murderous,violent | homicidal || murderous,3,2
demelo,clean-dirty,clean,dirty,lower_to_upper,clean | spotless | immaculate,clean | spotless || immaculate,3,2
demelo,composed-discomposed,composed,discomposed,lower_to_upper,calm | cool | serene,calm || cool | serene,3,2
demelo,comprehensive-incomprehensive,comprehensive,incomprehensive,lower_to_upper,statewide | nationwide | worldwide,statewide | nationwide | worldwide,3,3
demelo,comprehensive-incomprehensive2,comprehensive,incomprehensive2,lower_to_upper,general | extensive | complete | comprehensive | universal,general | extensive | complete || comprehensive | universal,5,4
demelo,concerned-unconcerned,concerned,unconcerned,lower_to_upper,concerned | preoccupied | obsessed,concerned | preoccupied | obsessed,3,3
demelo,content-discontent,content,discontent,lower_to_upper,content | satisfied | pleased | happy,content || satisfied | pleased || happy,4,2
demelo,echt-counterfeit,echt,counterfeit,lower_to_upper,good | real | authentic,good | real | authentic,3,3
demelo,far-close,far,close,lower_to_upper,far | further | farther | removed,far | further || farther | removed,4,3
demelo,fat-lean,fat,lean,lower_to_upper,overweight | chubby | fat | obese,overweight | chubby | fat | obese,4,4
demelo,friendly-unfriendly,friendly,unfriendly,lower_to_upper,friendly | cordial | warm | intimate,friendly || cordial | warm | intimate,4,3
demelo,full-empty,full,empty,lower_to_upper,full | stuffed | overloaded | overflowing,full | stuffed | overloaded | overflowing,4,4
demelo,general-specific,general,specific,lower_to_upper,broad | widespread | general | universal,broad || widespread | general | universal,4,3
demelo,happy-unhappy,happy,unhappy,lower_to_upper,happy | content | euphoric,happy || content | euphoric,3,2
demelo,high-low,high,low,lower_to_upper,high | higher | soaring,high | higher | soaring,3,3
demelo,hot-cold,hot,cold,lower_to_upper,warm | hot | overheated | stifling | sultry,warm | hot | overheated | stifling || sultry,5,4
demelo,intelligent-stupid,intelligent,stupid,lower_to_upper,bright | intelligent | smart | clever | brilliant,bright || intelligent || smart || clever | brilliant,5,2
demelo,interesting-uninteresting,interesting,uninteresting,lower_to_upper,interesting | intriguing | amusing | entertaining | fascinating | exciting,interesting | intriguing | amusing || entertaining | fascinating || exciting,6,4
demelo,involved-uninvolved,involved,uninvolved,lower_to_upper,interested | concerned | involved,interested | concerned | involved,3,3
demelo,known-unknown,known,unknown,lower_to_upper,known | famous | legendary,known | famous | legendary,3,3
demelo,like-unlike,like,unlike,lower_to_upper,like | equal | same,like | equal | same,3,3
demelo,many-few,many,few,lower_to_upper,some | many | numerous | galore,some | many | numerous | galore,4,4
demelo,mature-green,mature,green,lower_to_upper,mature | ripe | overripe,mature | ripe | overripe,3,3
demelo,necessary-unnecessary,necessary,unnecessary,lower_to_upper,needed | necessary | required | essential | indispensable,needed | necessary | required || essential | indispensable,5,4
demelo,noxious-innocuous,noxious,innocuous,lower_to_upper,harmful | toxic | deadly,harmful | toxic | deadly,3,3
demelo,possible-impossible,possible,impossible,lower_to_upper,possible | realistic | feasible | practical,possible | realistic | feasible | practical,4,4
demelo,private-public,private,public,lower_to_upper,personal | private | secret,personal | private | secret,3,3
demelo,quiet-noisy,quiet,noisy,lower_to_upper,soft | quiet | inaudible | silent,soft | quiet | inaudible | silent,4,4
demelo,satisfactory-unsatisfactory,satisfactory,unsatisfactory,lower_to_upper,acceptable | okay | alright | right,acceptable || okay || alright | right,4,2
demelo,seductive-unseductive,seductive,unseductive,lower_to_upper,attractive | sexy | seductive,attractive | sexy | seductive,3,3
demelo,serious-frivolous,serious,frivolous,lower_to_upper,real | solemn | serious | grave,real | solemn | serious | grave,4,4
demelo,stimulating-unexciting,stimulating,unexciting,lower_to_upper,interesting | moving | exciting | thrilling,interesting | moving | exciting | thrilling,4,4
demelo,strange-familiar,strange,familiar,lower_to_upper,strange | funny | unusual | weird | eerie,strange || funny | unusual | weird | eerie,5,4
demelo,sugary-nonsweet,sugary,nonsweet,lower_to_upper,sweet | sugary | syrupy,sweet | sugary | syrupy,3,3
demelo,surprising-unsurprising,surprising,unsurprising,lower_to_upper,unexpected | astonishing | stunning,unexpected | astonishing || stunning,3,2
demelo,tasty-tasteless,tasty,tasteless,lower_to_upper,flavorful | zesty | hot | spicy,flavorful | zesty | hot || spicy,4,3
demelo,thick-thin,thick,thin,lower_to_upper,thick | dense | impenetrable,thick | dense | impenetrable,3,3
demelo,valid-invalid,valid,invalid,lower_to_upper,reasonable | valid | sound,reasonable | valid | sound,3,3
demelo,attractive-unattractive,attractive,unattractive,upper_to_lower,plain | unattractive | ugly,plain | unattractive | ugly,3,3
demelo,audible-inaudible,audible,inaudible,upper_to_lower,quiet | inaudible | imperceptible | silent,quiet | inaudible || imperceptible | silent,4,3
demelo,big-little,big,little,upper_to_lower,small | smaller | midget | minute | tiny | minuscule | micro | microscopic,small | smaller | midget | minute | tiny || minuscule | micro || microscopic,8,6
demelo,cardinal-ordinal,cardinal,ordinal,upper_to_lower,first | second | third | fourth | fifth | sixth | seventh | eighth,first | second | third | fourth | fifth | sixth | seventh | eighth,8,8
